ID,ADDRESS,LATITUDE,LONGITUDE,WEIGHT
DC001,"701 Grainger Way, Minooka, IL 60447",41.460990,-88.278180,5
DC002,"8001 Forshee Dr, Jacksonville, FL 32219",30.384060,-81.779430,3
DC003,"101 Southchase Blvd, Fountain Inn, SC 29644",34.692089,-82.229424,4
DC004,"400 Bordentown Hedding Rd, Fieldsboro, NJ 08505",40.119570,-74.728860,5
DC005,"8211 Bavaria Dr E, Macedonia, OH 44056",41.311646,-81.515519,3
DC006,"4300 Old Airways Boulevard, Southaven, MS 38671",34.9328316,-89.9925307,3
DC007,"11200 MO-210, Kansas City, MO 64161",39.1576865,-94.4448653,4
DC008,"Industrial equipment supplier in Roanoke, Texas",29.97299,-96.48473,4
DC009,"4700 Hamner Ave, Mira Loma, CA 91752",34.006903,-117.55821,3
DC010,"parkway, 2710 Keystone Pacific Pkwy, Patterson, CA 95363",37.4772229,-121.1680461,5